Year,Month,Day,Time.Start,Time.End,Hour,Minutes,Duration_min,Day_Duration
2019,2,14,18:30,20:00,1,30,90,225
2019,2,15,9:00,12:00,3,0,180,180
2019,2,16,10:00,12:30,2,30,150,150
2019,2,17,12:30,19:30,7,0,420,420
2019,2,18,9:30,15:30,6,0,360,540
2019,2,18,5:00,8:00,3,0,180,540
2019,2,19,9:45,12:45,3,0,180,300
2019,2,19,15:30,17:30,2,0,120,300
2019,2,20,9:15,10:45,1,30,90,90
2019,2,21,14:30,20:15,5,45,345,345
2019,2,22,9:45,12:00,2,15,135,405
2019,2,22,14:00,18:30,4,30,270,405
2019,2,23,9:30,12:30,3,0,180,285
2019,2,23,16:30,18:15,1,45,105,285
2019,2,24,10:00,14:30,4,30,270,375
2019,2,24,17:30,19:15,1,45,105,375
2019,2,25,9:30,12:30,3,0,180,400
2019,2,25,14:20,18:00,3,40,220,400
2019,2,26,9:30,12:45,3,15,195,375
2019,2,26,15:00,18:00,3,0,180,375
2019,2,27,10:20,12:00,1,40,100,200
2019,2,27,15:50,17:30,1,40,100,200
2019,2,28,9:30,11:30,2,0,120,540
2019,2,28,12:45,19:45,7,0,420,540
2019,3,1,9:30,12:00,2,30,150,270
2019,3,1,13:45,15:45,2,0,120,270
2019,3,2,9:30,13:00,3,30,210,210
2019,3,3,10:30,16:30,6,0,360,360
2019,3,5,10:00,12:15,2,15,135,375
2019,3,5,14:00,18:00,4,0,240,375
2019,3,6,9:45,11:15,1,30,90,255
2019,3,6,14:45,17:30,2,45,165,255
2019,3,7,10:00,12:30,2,30,150,240
2019,3,7,14:30,16:00,1,30,90,240
2019,3,8,13:00,16:30,3,30,210,210
2019,3,9,10:15,12:45,2,30,150,150
2019,3,10,10:45,16:15,5,30,330,330
2019,3,11,9:10,11:40,2,30,150,150
2019,3,12,8:00,9:30,1,30,90,90
2020,1,3,18:40,21:50,3,10,190,190
2020,1,11,,,3,0,180,180
2020,1,13,,,3,0,180,180
2020,1,14,8:40,10:20,1,40,100,285
2020,1,14,17:45,20:50,3,5,185,285
2020,1,15,16:15,19:15,3,0,180,180
2020,1,17,8:45,11:45,3,0,180,285
2020,1,17,19:30,21:15,1,45,105,285
2020,1,18,8:45,11:45,3,0,180,330
2020,1,18,19:00,21:30,2,30,150,330
2020,1,19,17:25,20:10,2,45,165,165
2020,1,20,19:10,19:50,0,40,40,40
2020,1,21,9:20,11:00,1,40,100,400
2020,1,21,13:10,18:10,5,0,300,400
2020,1,22,8:30,11:30,3,0,180,180
2020,1,23,10:15,12:15,2,0,120,240
2020,1,23,16:10,18:10,2,0,120,240
2020,1,24,8:20,9:20,1,0,60,330
2020,1,24,13:10,17:40,4,30,270,330
2020,1,25,16:10,18:15,2,5,125,125
2020,1,26,15:45,17:00,1,15,75,75
2020,1,28,9:30,16:15,6,45,405,405
2020,1,29,9:30,12:00,2,30,150,330
2020,1,29,13:30,16:30,3,0,180,330
2020,1,30,8:45,11:15,2,30,150,255
2020,1,30,16:00,17:45,1,45,105,255
2020,1,31,13:30,19:30,6,0,360,360
2020,2,1,10:00,12:30,2,30,150,150
2020,2,2,4:45,6:30,1,45,105,105
2020,2,3,8:55,10:00,1,5,65,65
2020,2,4,10:00,12:00,2,0,120,330
2020,2,4,14:45,18:15,3,30,210,330
2020,2,5,8:40,11:10,2,30,150,270
2020,2,5,13:40,15:40,2,0,120,270
2020,2,6,13:00,17:00,4,0,240,240
2020,2,7,13:00,17:30,4,30,270,270
2020,2,8,10:40,11:40,1,0,60,240
2020,2,8,5:45,8:45,3,0,180,240
2020,2,12,11:15,12:45,1,30,90,90
2020,2,13,9:45,16:15,6,30,390,390
2020,2,14,14:00,16:30,2,30,150,150
2020,2,16,9:00,12:30,3,30,210,330
2020,2,16,17:30,19:30,2,0,120,330
2020,2,17,9:00,10:00,1,0,60,180
2020,2,17,14:45,16:45,2,0,120,180
2020,2,18,9:00,11:30,2,30,150,375
2020,2,18,13:45,15:15,1,30,90,375
2020,2,18,17:30,19:45,2,15,135,375
2020,2,19,16:00,19:00,3,0,180,180
2020,2,20,9:00,11:30,2,30,150,150
2020,2,22,16:15,18:15,2,0,120,120
2020,2,24,9:00,11:45,2,45,165,315
2020,2,24,13:30,16:00,2,30,150,315
2020,2,25,14:00,19:00,5,0,300,300
2020,2,26,9:00,12:00,3,0,180,180
2020,2,27,16:45,18:45,2,0,120,120
2020,2,28,9:15,11:45,2,30,150,300
2020,2,28,13:30,16:00,2,30,150,300
2020,3,2,9:15,11:30,2,15,135,135
2020,3,3,9:30,18:40,9,10,550,550
2020,3,4,10:00,12:30,2,30,150,150
2020,3,8,10:30,18:30,8,0,480,480
2020,3,9,9:20,10:40,1,20,80,190
2020,3,9,15:40,17:30,1,50,110,190
2020,3,10,9:00,12:00,3,0,180,180
2020,3,12,10:30,12:30,2,0,120,120
2020,3,16,10:00,12:00,2,0,120,120
2020,3,17,9:00,11:30,2,30,150,150
2020,3,18,8:30,10:00,1,30,90,90
